Name,Sleep_Schedule(1-10),Cleanliness(1-10),Noise_Tolerance(1-10),Study_Habits(1-10),Social_Behavior(1-10),"Smoking(0=No,1=Yes)",Pet_Friendly(0/1)
Rahul,8,7,5,8,6,0,1
Priya,7,9,4,9,5,0,1
Aman,3,5,8,4,9,1,0
Neha,9,8,3,7,6,0,1
Arjun,6,6,7,5,7,1,0
Kavya,8,9,4,8,5,0,1
Rohit,5,6,6,5,8,1,0
Sneha,9,8,2,9,4,0,1
Aditya,4,5,7,6,7,1,0
Ishita,8,9,3,8,5,0,1
Varun,6,7,6,5,7,0,0
Megha,9,9,2,8,4,0,1
Karan,5,6,7,5,8,1,0
Pooja,8,8,4,7,6,0,1
Sahil,4,5,8,4,9,1,0
Nikita,9,8,3,8,5,0,1
Ritika,7,9,4,8,6,0,1
Dev,6,6,6,6,7,1,0
Yash,5,5,7,5,8,1,0
Ananya,9,9,3,9,4,0,1
